Year,Month,Day,Unnamed: 0,Daily Rainfall Total (mm),Highest 30 min Rainfall (mm),Highest 60 min Rainfall (mm),Highest 120 min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
2014,3,5,63.0,0.0,0.0,0.0,0.0,27.766666666666666,33.4,24.366666666666664,9.733333333333334,33.6
2014,3,6,64.0,0.0,0.0,0.0,0.0,27.566666666666666,32.699999999999996,23.900000000000002,8.6,33.63333333333333
2014,3,7,65.0,0.0,0.0,0.0,0.0,27.666666666666668,32.266666666666666,24.233333333333334,8.633333333333333,30.233333333333334
2014,3,8,66.0,0.0,0.0,0.0,0.0,27.866666666666664,33.166666666666664,24.933333333333334,9.299999999999999,31.0
2014,3,9,67.0,0.0,0.0,0.0,0.0,27.666666666666668,32.53333333333333,24.400000000000002,10.6,33.93333333333333
2014,3,10,68.0,0.0,0.0,0.0,0.0,27.8,32.4,24.766666666666666,10.866666666666665,35.266666666666666
2014,3,11,69.0,0.0,0.0,0.0,0.0,28.166666666666668,33.833333333333336,24.766666666666666,10.933333333333332,33.36666666666667
2014,3,12,70.0,0.0,0.0,0.0,0.0,28.166666666666668,33.06666666666667,25.266666666666666,11.266666666666666,33.833333333333336
2014,3,13,71.0,0.0,0.0,0.0,0.0,28.333333333333332,33.800000000000004,24.866666666666664,9.5,31.099999999999998
2014,3,14,72.0,0.0,0.0,0.0,0.0,28.666666666666668,33.699999999999996,25.333333333333332,9.566666666666666,35.63333333333333
2014,3,15,73.0,0.0,0.0,0.0,0.0,28.666666666666668,32.9,25.833333333333332,8.9,34.699999999999996
2014,3,16,74.0,38.86666666666667,14.399999999999999,18.400000000000002,23.333333333333332,25.96666666666667,27.933333333333334,23.96666666666667,5.5,31.566666666666666
2014,3,17,75.0,7.3999999999999995,2.8666666666666667,4.0,4.6000000000000005,26.0,28.866666666666664,24.366666666666664,6.133333333333333,28.666666666666668
2014,3,18,76.0,12.266666666666667,6.0,6.0,10.133333333333333,26.766666666666666,31.2,24.666666666666668,6.300000000000001,28.900000000000002
2014,3,19,77.0,19.133333333333333,10.266666666666667,14.0,15.133333333333333,26.733333333333334,31.5,24.633333333333336,6.0,32.53333333333333
2014,3,20,78.0,3.0,2.466666666666667,2.6666666666666665,2.9333333333333336,27.233333333333334,32.266666666666666,25.400000000000002,5.866666666666667,27.333333333333332
2014,3,21,79.0,7.800000000000001,6.666666666666667,7.533333333333334,7.533333333333334,27.433333333333334,31.76666666666667,25.0,6.666666666666667,22.666666666666668
2014,3,22,80.0,0.0,0.0,0.0,0.0,27.46666666666667,31.099999999999998,24.733333333333334,8.2,28.2
2014,3,23,81.0,0.0,0.0,0.0,0.0,28.066666666666666,33.36666666666667,24.266666666666666,8.6,29.866666666666664
2014,3,24,82.0,0.0,0.0,0.0,0.0,28.2,33.36666666666667,24.96666666666667,8.6,30.133333333333336
2014,3,25,83.0,0.0,0.0,0.0,0.0,28.333333333333332,33.06666666666667,25.233333333333334,9.733333333333333,32.766666666666666
2014,3,26,84.0,2.1999999999999997,2.066666666666667,2.1999999999999997,2.1999999999999997,28.333333333333332,33.26666666666667,25.733333333333334,8.166666666666666,30.733333333333334
2014,3,27,85.0,1.8666666666666665,1.8666666666666665,1.8666666666666665,1.8666666666666665,28.833333333333332,33.56666666666667,25.666666666666668,8.0,26.766666666666666
2014,3,28,86.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,28.76666666666667,32.96666666666667,26.03333333333333,7.333333333333333,30.833333333333332
2014,3,29,87.0,2.733333333333333,2.6666666666666665,2.733333333333333,2.733333333333333,28.400000000000002,32.766666666666666,26.5,5.8999999999999995,28.333333333333332
2014,3,30,88.0,2.533333333333333,2.533333333333333,2.533333333333333,2.533333333333333,28.633333333333336,32.666666666666664,25.96666666666667,6.166666666666667,25.099999999999998
2014,3,31,89.0,0.0,0.0,0.0,0.0,28.833333333333332,32.833333333333336,26.633333333333336,6.733333333333333,31.099999999999998
2014,4,1,90.0,1.4000000000000001,1.2,1.3333333333333333,1.3333333333333333,28.366666666666664,32.166666666666664,26.2,6.0,24.133333333333336
2014,4,2,91.0,2.6,1.9333333333333333,2.6,2.6,28.766666666666666,32.36666666666667,25.933333333333334,6.5,25.666666666666668
2014,4,3,92.0,0.0,0.0,0.0,0.0,29.400000000000002,34.26666666666667,27.2,7.933333333333334,35.5
2014,4,4,93.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,28.366666666666664,32.166666666666664,26.233333333333334,6.2,26.166666666666668
2014,4,5,94.0,27.799999999999997,13.4,15.866666666666667,19.866666666666664,26.46666666666667,28.2,23.433333333333334,6.533333333333334,31.8
2014,4,6,95.0,0.26666666666666666,0.20000000000000004,0.26666666666666666,0.26666666666666666,28.366666666666664,32.6,25.133333333333336,7.733333333333333,28.333333333333332
2014,4,7,96.0,3.3333333333333335,3.266666666666667,3.3333333333333335,3.3333333333333335,28.833333333333332,33.96666666666667,25.5,6.533333333333334,31.3
2014,4,8,97.0,2.4,1.4666666666666668,1.6666666666666667,2.2,27.933333333333334,32.300000000000004,25.73333333333333,6.933333333333334,27.966666666666665
2014,4,9,98.0,4.066666666666667,3.9333333333333336,4.066666666666667,4.066666666666667,27.833333333333332,32.93333333333334,24.666666666666668,6.166666666666667,29.900000000000002
2014,4,10,99.0,3.6,3.533333333333333,3.533333333333333,3.6,27.900000000000002,31.666666666666668,25.266666666666666,5.366666666666667,27.266666666666666
2014,4,11,100.0,5.666666666666667,3.6,4.933333333333333,5.666666666666667,27.833333333333332,32.93333333333334,24.900000000000002,6.0,32.300000000000004
2014,4,12,101.0,5.3999999999999995,2.066666666666667,2.8666666666666667,3.9333333333333336,26.96666666666667,29.866666666666664,23.96666666666667,4.7,29.400000000000002
2014,4,13,102.0,1.8,1.4666666666666668,1.8,1.8,28.433333333333334,33.06666666666667,25.400000000000002,6.6000000000000005,27.733333333333334
2014,4,14,103.0,4.0,2.8666666666666667,3.733333333333333,3.9333333333333336,28.333333333333332,33.300000000000004,25.333333333333332,5.966666666666666,29.633333333333336
2014,4,15,104.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333,28.46666666666667,32.766666666666666,25.8,6.466666666666666,28.566666666666666
2014,4,16,105.0,7.133333333333333,5.866666666666666,6.333333333333333,7.133333333333333,28.400000000000002,32.1,25.166666666666668,5.633333333333333,27.133333333333336
2014,4,17,106.0,11.066666666666668,8.2,10.0,10.800000000000002,28.233333333333334,31.833333333333332,25.2,5.266666666666667,24.03333333333333
2014,4,18,107.0,2.266666666666667,2.266666666666667,2.266666666666667,2.266666666666667,28.0,30.599999999999998,25.933333333333334,5.3,33.266666666666666
2014,4,19,108.0,0.0,0.0,0.0,0.0,28.899999999999995,32.5,25.833333333333332,6.1000000000000005,24.0
2014,4,20,109.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,28.133333333333336,31.03333333333333,26.0,5.7,35.03333333333333
2014,4,21,110.0,3.733333333333333,1.8,2.733333333333333,3.6666666666666665,26.866666666666664,29.53333333333333,25.366666666666664,5.266666666666667,36.1
2014,4,22,111.0,6.8,5.666666666666667,6.666666666666667,6.733333333333333,27.766666666666666,33.53333333333333,25.333333333333332,5.166666666666667,31.333333333333332
2014,4,23,112.0,2.733333333333333,2.466666666666667,2.733333333333333,2.733333333333333,28.366666666666664,33.166666666666664,25.433333333333334,5.833333333333333,31.2
2014,4,24,113.0,6.533333333333334,5.8,6.333333333333333,6.466666666666668,28.3,33.13333333333333,24.8,6.166666666666667,28.46666666666667
2014,4,25,114.0,6.6000000000000005,6.533333333333334,6.6000000000000005,6.6000000000000005,28.5,33.43333333333333,25.133333333333336,5.766666666666667,28.066666666666666
2014,4,26,115.0,0.0,0.0,0.0,0.0,28.833333333333332,32.666666666666664,26.7,5.133333333333333,26.633333333333336
2014,4,27,116.0,1.3333333333333333,1.2,1.3333333333333333,1.3333333333333333,28.53333333333333,32.06666666666667,25.2,5.566666666666666,34.06666666666666
2014,4,28,117.0,2.3333333333333335,1.5333333333333334,1.9333333333333333,2.2,28.766666666666666,32.266666666666666,26.099999999999998,5.8999999999999995,29.3
2014,4,29,118.0,10.933333333333332,10.0,10.333333333333334,10.333333333333334,28.46666666666667,31.46666666666667,26.233333333333334,5.333333333333333,33.733333333333334
2014,4,30,119.0,4.466666666666667,2.733333333333333,3.4,4.466666666666667,28.5,31.666666666666668,26.46666666666667,5.333333333333333,22.433333333333334
2014,5,1,120.0,1.2,1.0,1.2,1.2,28.399999999999995,30.96666666666667,24.733333333333334,5.933333333333334,41.63333333333333
2014,5,2,121.0,0.0,0.0,0.0,0.0,29.666666666666668,33.0,27.133333333333336,6.366666666666667,22.666666666666668
2014,5,3,122.0,0.7333333333333334,0.5333333333333333,0.7333333333333334,0.7333333333333334,29.5,33.666666666666664,27.3,6.966666666666668,27.366666666666664
2014,5,4,123.0,0.4666666666666666,0.4666666666666666,0.4666666666666666,0.4666666666666666,29.366666666666664,33.9,26.76666666666667,5.633333333333333,28.8
2014,5,5,124.0,0.7999999999999999,0.7999999999999999,0.7999999999999999,0.7999999999999999,29.366666666666664,33.166666666666664,27.0,6.466666666666666,33.46666666666666
2014,5,6,125.0,1.0,1.0,1.0,1.0,29.53333333333333,32.766666666666666,26.933333333333334,6.699999999999999,30.366666666666664
2014,5,7,126.0,13.933333333333332,8.266666666666667,11.0,11.799999999999999,28.099999999999998,33.5,24.46666666666667,5.433333333333334,29.766666666666666
2014,5,8,127.0,17.6,13.466666666666667,15.733333333333333,15.933333333333335,27.399999999999995,31.46666666666667,24.400000000000002,4.5,30.599999999999998
2014,5,9,128.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333,28.900000000000002,32.266666666666666,26.633333333333336,5.233333333333333,19.46666666666667
2014,5,10,129.0,0.0,0.0,0.0,0.0,29.933333333333334,33.46666666666667,27.5,6.466666666666666,30.0
2014,5,11,130.0,0.0,0.0,0.0,0.0,28.833333333333332,33.13333333333333,26.566666666666666,5.1000000000000005,27.7
2014,5,12,131.0,3.466666666666667,2.3333333333333335,3.466666666666667,3.466666666666667,28.266666666666666,31.53333333333333,26.433333333333334,4.766666666666667,29.900000000000002
2014,5,13,132.0,0.0,0.0,0.0,0.0,29.333333333333332,32.96666666666667,26.133333333333336,5.933333333333334,24.96666666666667
2014,5,14,133.0,5.133333333333334,3.533333333333333,4.2,4.6000000000000005,28.333333333333332,30.53333333333333,25.46666666666667,7.766666666666667,34.06666666666667
2014,5,15,134.0,4.066666666666666,3.6666666666666665,4.066666666666666,4.066666666666666,29.599999999999998,32.666666666666664,26.900000000000002,6.233333333333333,23.866666666666664
2014,5,16,135.0,37.13333333333333,23.333333333333332,31.333333333333332,36.46666666666666,28.53333333333333,31.133333333333336,23.46666666666667,5.6000000000000005,43.699999999999996
2014,5,17,136.0,12.933333333333332,7.533333333333332,11.600000000000001,12.933333333333332,28.7,30.933333333333334,26.400000000000002,6.233333333333333,33.6
2014,5,18,137.0,11.933333333333332,4.933333333333334,6.466666666666668,7.933333333333334,26.866666666666664,29.0,24.433333333333334,4.933333333333334,27.7
2014,5,19,138.0,9.133333333333335,5.666666666666667,7.6000000000000005,8.2,27.366666666666664,30.166666666666668,23.166666666666668,6.266666666666667,29.266666666666666
2014,5,20,139.0,5.533333333333334,2.533333333333333,3.3333333333333335,4.3999999999999995,27.633333333333336,32.43333333333333,23.666666666666668,5.266666666666667,25.666666666666668
2014,5,21,140.0,3.6666666666666665,2.3333333333333335,2.4,3.466666666666667,27.866666666666664,32.1,25.46666666666667,4.833333333333333,23.633333333333336
