DateTime,USEP (Milligrams of gold/MWh),DEMAND (MW),Total Population (Number),Holiday,Day
2019-09-09 14:00:00,455.2746704331451,7011.547,5703569.0,1,1
2019-09-09 14:30:00,455.2746704331451,7011.437,5703569.0,1,1
2019-09-09 15:00:00,455.3212267958032,7017.665,5703569.0,1,1
2019-09-09 15:30:00,455.55400860909344,7032.754,5703569.0,1,1
2019-09-09 16:00:00,455.78679042238366,7043.419,5703569.0,1,1
2019-09-09 16:30:00,455.3212267958032,7032.038,5703569.0,1,1
2019-09-09 17:00:00,444.0080306698951,7006.383,5703569.0,1,1
2019-09-09 17:30:00,422.26620930858223,6933.2,5703569.0,1,1
2019-09-09 18:00:00,410.766787732042,6799.164,5703569.0,1,1
2019-09-09 18:30:00,407.46128598332,6748.301,5703569.0,1,1
2019-09-09 19:00:00,407.32161689534576,6751.75,5703569.0,1,1
2019-09-09 19:30:00,408.1130750605327,6763.027,5703569.0,1,1
2019-09-09 20:00:00,405.878369652946,6753.872,5703569.0,1,1
2019-09-09 20:30:00,414.44474038202856,6717.427,5703569.0,1,1
2019-09-09 21:00:00,422.3127656712402,6685.719,5703569.0,1,1
2019-09-09 21:30:00,456.1126849609901,6642.057,5703569.0,1,1
2019-09-09 22:00:00,424.2681329028787,6518.96,5703569.0,1,1
2019-09-09 22:30:00,411.8375840731773,6378.866,5703569.0,1,1
2019-09-09 23:00:00,414.39818401937055,6236.147,5703569.0,1,1
2019-09-09 23:30:00,421.8006456820017,6086.381,5703569.0,1,1
2019-09-10 00:00:00,395.26351896690886,5961.416,5703569.0,1,2
2019-09-10 00:30:00,395.8687516814636,5827.275,5703569.0,1,2
2019-09-10 01:00:00,378.2704465967178,5733.342,5703569.0,1,2
2019-09-10 01:30:00,359.36856335754646,5631.547,5703569.0,1,2
2019-09-10 02:00:00,338.837207425343,5548.23,5703569.0,1,2
2019-09-10 02:30:00,338.37164379876253,5505.269,5703569.0,1,2
2019-09-10 03:00:00,337.3008474576271,5452.05,5703569.0,1,2
2019-09-10 03:30:00,329.9914985203121,5413.538,5703569.0,1,2
2019-09-10 04:00:00,329.9914985203121,5389.766,5703569.0,1,2
2019-09-10 04:30:00,329.9914985203121,5377.903,5703569.0,1,2
2019-09-10 05:00:00,331.2019639494216,5399.985,5703569.0,1,2
2019-09-10 05:30:00,334.18157115953727,5476.92,5703569.0,1,2
2019-09-10 06:00:00,349.1261635727737,5622.76,5703569.0,1,2
2019-09-10 06:30:00,377.5255447941889,5807.003,5703569.0,1,2
2019-09-10 07:00:00,379.89991928974985,5934.036,5703569.0,1,2
2019-09-10 07:30:00,380.784490180253,6082.982,5703569.0,1,2
2019-09-10 08:00:00,410.9064568200162,6358.757,5703569.0,1,2
2019-09-10 08:30:00,414.39818401937055,6668.771,5703569.0,1,2
2019-09-10 09:00:00,427.85297282754914,6845.608,5703569.0,1,2
2019-09-10 09:30:00,458.44050309389297,6943.9,5703569.0,1,2
2019-09-10 10:00:00,471.1503900995427,7001.731,5703569.0,1,2
2019-09-10 10:30:00,535.4447269303203,7049.349,5703569.0,1,2
2019-09-10 11:00:00,661.0072370191015,7076.892,5703569.0,1,2
2019-09-10 11:30:00,706.632472423998,7053.668,5703569.0,1,2
2019-09-10 12:00:00,494.6147968792037,6998.764,5703569.0,1,2
